File	DIT	NDIT	Tech	CATG	TYPE	INS.MODE	DRS.SLIT	DRS.FILTER	DRS.IFU	DRS.MASK	INS.
METIS.DARK_2RG_RAW.2027-01-25_00_33_32.fits	0.004	1	IMAGE,LM	CALIB	DARK	IMG_LM		open			ESO INS OPTI10 NAME=open	
METIS.DARK_2RG_RAW.2027-01-25_00_33_33.fits	0.05	1	IMAGE,LM	CALIB	DARK	IMG_LM		open			ESO INS OPTI10 NAME=open	
METIS.DARK_2RG_RAW.2027-01-25_00_33_34.fits	0.25	1	IMAGE,LM	CALIB	DARK	IMG_LM		open			ESO INS OPTI10 NAME=open	
METIS.DARK_2RG_RAW.2027-01-25_00_33_35.fits	0.25	4	IMAGE,LM	CALIB	DARK	IMG_LM		open			ESO INS OPTI10 NAME=open	
METIS.DARK_2RG_RAW.2027-01-25_00_33_37.fits	10	1	IMAGE,LM	CALIB	DARK	IMG_LM		open			ESO INS OPTI10 NAME=open	
METIS.DARK_GEO_RAW.2027-01-25_00_33_50.fits	0.0004	1	IMAGE,N	CALIB	DARK	IMG_N		open			ESO INS OPTI13 NAME=open	
METIS.DARK_GEO_RAW.2027-01-25_00_33_51.fits	0.005	1	IMAGE,N	CALIB	DARK	IMG_N		open			ESO INS OPTI13 NAME=open	
METIS.DARK_GEO_RAW.2027-01-25_00_33_52.fits	0.01	1	IMAGE,N	CALIB	DARK	IMG_N		open			ESO INS OPTI13 NAME=open	
METIS.DARK_GEO_RAW.2027-01-25_00_33_53.fits	0.05	1	IMAGE,N	CALIB	DARK	IMG_N		open			ESO INS OPTI13 NAME=open	
METIS.DARK_GEO_RAW.2027-01-25_00_33_54.fits	0.25	1	IMAGE,N	CALIB	DARK	IMG_N		open			ESO INS OPTI13 NAME=open	
METIS.DARK_GEO_RAW.2027-01-25_00_33_56.fits	0.25	4	IMAGE,N	CALIB	DARK	IMG_N		open			ESO INS OPTI13 NAME=open	
METIS.DARK_GEO_RAW.2027-01-25_00_33_58.fits	10	1	IMAGE,N	CALIB	DARK	IMG_N		open			ESO INS OPTI13 NAME=open	
METIS.DARK_IFU_RAW.2027-01-25_00_34_11.fits	0.0004	1	IFU	CALIB	DARK	IFU_nominal		open	open		ESO INS OPTI6 NAME=open	
METIS.DARK_IFU_RAW.2027-01-25_00_34_12.fits	0.25	1	IFU	CALIB	DARK	IFU_nominal		open	open		ESO INS OPTI6 NAME=open	
METIS.DARK_IFU_RAW.2027-01-25_00_34_13.fits	100	3	IFU	CALIB	DARK	IFU_nominal		open	open		ESO INS OPTI6 NAME=open	
METIS.DARK_IFU_RAW.2027-01-25_00_40_14.fits	15	1	IFU	CALIB	DARK	IFU_nominal		open	open		ESO INS OPTI6 NAME=open	
METIS.DETLIN_2RG_RAW.2027-01-25_00_01_15.fits	1.0	1	IMAGE,LM	CALIB	DETLIN	IMG_LM		open			ESO INS OPTI10 NAME=open	
METIS.DETLIN_GEO_RAW.2027-01-25_00_01_17.fits	1.0	1	IMAGE,N	CALIB	DETLIN	IMG_N		open			ESO INS OPTI13 NAME=open	
METIS.DETLIN_IFU_RAW.2027-01-25_00_01_20.fits	1.0	1	IFU	CALIB	DETLIN	IFU_nominal		open	open		ESO INS OPTI6 NAME=open	
METIS.IFU_DISTORTION_RAW.2027-01-25_00_02_52.fits	0.25	1	IFU	CALIB	DISTORTION	IFU_nominal		Lp	Lp		ESO INS OPTI6 NAME=Lp	
METIS.IFU_OFF_AXIS_PSF_RAW.2027-01-25_00_15_24.fits	100	3	IFU	CALIB	PSF,OFFAXIS	IFU_nominal		open	open		ESO INS OPTI6 NAME=open	
METIS.IFU_RSRF_PINH_RAW.2027-01-25_00_01_46.fits	15	1	IFU	CALIB	FLAT,LAMP	IFU_nominal		open	open		ESO INS OPTI6 NAME=open	
METIS.IFU_RSRF_RAW.2027-01-25_00_01_24.fits	15	1	IFU	CALIB	RSRF	IFU_nominal		open	open		ESO INS OPTI6 NAME=open	
METIS.IFU_SCI_RAW.2027-01-25_00_15_18.fits	0.25	1	IFU	SCIENCE	OBJECT	IFU_nominal		open	open		ESO INS OPTI6 NAME=open	
METIS.IFU_SCI_RAW.2027-01-25_00_21_30.fits	100	3	IFU	SCIENCE	OBJECT	IFU_nominal_RAVC		open	open	VPM-L,RAP-LM,RLS-LMS	ESO INS OPTI6 NAME=open,ESO INS OPTI1 NAME=RAP-LM,ESO INS OPTI3 NAME=VPM-L,ESO INS OPTI5 NAME=RLS-LMS	
METIS.IFU_SKY_RAW.2027-01-25_00_09_17.fits	100	3	IFU	CALIB	SKY	IFU_nominal		open	open		ESO INS OPTI6 NAME=open	
METIS.IFU_SKY_RAW.2027-01-25_00_15_20.fits	0.25	1	IFU	CALIB	SKY	IFU_nominal		open	open		ESO INS OPTI6 NAME=open	
METIS.IFU_SKY_RAW.2027-01-25_00_27_31.fits	100	3	IFU	CALIB	SKY	IFU_nominal_RAVC		open	open	VPM-L,RAP-LM,RLS-LMS	ESO INS OPTI6 NAME=open,ESO INS OPTI1 NAME=RAP-LM,ESO INS OPTI3 NAME=VPM-L,ESO INS OPTI5 NAME=RLS-LMS	
METIS.IFU_STD_RAW.2027-01-25_00_03_16.fits	100	3	IFU	CALIB	STD	IFU_nominal		open	open		ESO INS OPTI6 NAME=open	
METIS.IFU_WAVE_RAW.2027-01-25_00_02_09.fits	0.0004	1	IFU	CALIB	WAVE	IFU_nominal		open	open		ESO INS OPTI6 NAME=open	
METIS.IFU_WCU_OFF_RAW.2027-01-25_00_40_33.fits	0.25	1	IFU	CALIB	DARK,WCUOFF	IFU_nominal		open	open		ESO INS OPTI6 NAME=open	
METIS.IFU_WCU_OFF_RAW.2027-01-25_00_40_35.fits	1.0	1	IFU	CALIB	DARK,WCUOFF	IFU_nominal		open	open		ESO INS OPTI6 NAME=open	
METIS.LM_CHOPPERHOME_RAW.2027-01-25_00_02_10.fits	10	1	IMAGE,LM	CALIB	CHOPHOME	IMG_LM		open			ESO INS OPTI10 NAME=open	
METIS.LM_DISTORTION_RAW.2027-01-25_00_02_49.fits	0.25	1	IMAGE,LM	CALIB	DISTORTION	IMG_LM		Lp			ESO INS OPTI10 NAME=Lp	
METIS.LM_FLAT_LAMP_RAW.2027-01-25_00_40_52.fits	0.25	1	IMAGE,LM	CALIB	FLAT,LAMP	IMG_LM		L_spec			ESO INS OPTI10 NAME=L_spec	
METIS.LM_FLAT_LAMP_RAW.2027-01-25_00_40_53.fits	0.25	1	IMAGE,LM	CALIB	FLAT,LAMP	IMG_LM		Lp			ESO INS OPTI10 NAME=Lp	
METIS.LM_FLAT_LAMP_RAW.2027-01-25_00_40_54.fits	0.25	1	IMAGE,LM	CALIB	FLAT,LAMP	IMG_LM		open			ESO INS OPTI10 NAME=open	
METIS.LM_FLAT_TWILIGHT_RAW.2027-01-25_00_40_44.fits	0.25	1	IMAGE,LM	CALIB	FLAT,TWILIGHT	IMG_LM		L_spec			ESO INS OPTI10 NAME=L_spec	
METIS.LM_FLAT_TWILIGHT_RAW.2027-01-25_00_40_45.fits	0.25	1	IMAGE,LM	CALIB	FLAT,TWILIGHT	IMG_LM		Lp			ESO INS OPTI10 NAME=Lp	
METIS.LM_FLAT_TWILIGHT_RAW.2027-01-25_00_40_46.fits	0.25	1	IMAGE,LM	CALIB	FLAT,TWILIGHT	IMG_LM		open			ESO INS OPTI10 NAME=open	
METIS.LM_IMAGE_SCI_RAW.2027-01-25_00_02_58.fits	0.25	4	IMAGE,LM	SCIENCE	OBJECT	IMG_LM		Lp			ESO INS OPTI10 NAME=Lp	
METIS.LM_IMAGE_SCI_RAW.2027-01-25_00_21_25.fits	0.25	1	IMAGE,LM	SCIENCE	OBJECT	IMG_LM_RAVC		open		VPM-L,RAP-LM,RLS-LMS	ESO INS OPTI10 NAME=open,ESO INS OPTI1 NAME=RAP-LM,ESO INS OPTI3 NAME=VPM-L,ESO INS OPTI5 NAME=RLS-LMS	
METIS.LM_IMAGE_SCI_RAW.2027-01-25_00_21_27.fits	0.25	1	IMAGE,LM	SCIENCE	OBJECT	IMG_LM_APP		Lp		VPM-L,RAP-LM,APP-LMS	ESO INS OPTI10 NAME=Lp,ESO INS OPTI1 NAME=RAP-LM,ESO INS OPTI3 NAME=VPM-L,ESO INS OPTI5 NAME=APP-LMS	
METIS.LM_IMAGE_SKY_RAW.2027-01-25_00_02_54.fits	0.25	1	IMAGE,LM	CALIB	SKY	IMG_LM		Lp			ESO INS OPTI10 NAME=Lp	
METIS.LM_IMAGE_SKY_RAW.2027-01-25_00_03_00.fits	0.25	4	IMAGE,LM	SCIENCE	SKY	IMG_LM		Lp			ESO INS OPTI10 NAME=Lp	
METIS.LM_IMAGE_SKY_RAW.2027-01-25_00_21_26.fits	0.25	1	IMAGE,LM	SCIENCE	SKY	IMG_LM_RAVC		Lp		VPM-L,RAP-LM,RLS-LMS	ESO INS OPTI10 NAME=Lp,ESO INS OPTI1 NAME=RAP-LM,ESO INS OPTI3 NAME=VPM-L,ESO INS OPTI5 NAME=RLS-LMS	
METIS.LM_IMAGE_SKY_RAW.2027-01-25_00_21_29.fits	0.25	1	IMAGE,LM	SCIENCE	SKY	IMG_LM_APP		Lp		VPM-L,RAP-LM,APP-LMS	ESO INS OPTI10 NAME=Lp,ESO INS OPTI1 NAME=RAP-LM,ESO INS OPTI3 NAME=VPM-L,ESO INS OPTI5 NAME=APP-LMS	
METIS.LM_IMAGE_STD_RAW.2027-01-25_00_02_53.fits	0.25	1	IMAGE,LM	CALIB	STD	IMG_LM		Lp			ESO INS OPTI10 NAME=Lp	
METIS.LM_LSS_RSRF_PINH_RAW.2027-01-25_00_01_43.fits	0.25	1	LSS,LM	CALIB	FLAT,LAMP,PINH	SPEC_LM	C-38_1	open			ESO INS OPTI9 NAME=open	
METIS.LM_LSS_RSRF_RAW.2027-01-25_00_01_22.fits	0.25	1	LSS,LM	CALIB	FLAT,LAMP	SPEC_LM	C-38_1	L_spec			ESO INS OPTI9 NAME=L_spec	
METIS.LM_LSS_SCI_RAW.2027-01-25_00_03_14.fits	0.25	1	LSS,LM	SCIENCE	OBJECT	SPEC_LM	C-38_1	L_spec			ESO INS OPTI9 NAME=L_spec	
METIS.LM_LSS_SKY_RAW.2027-01-25_00_03_08.fits	0.05	1	LSS,LM	CALIB	SKY	SPEC_LM	C-38_1	L_spec			ESO INS OPTI9 NAME=L_spec	
METIS.LM_LSS_SKY_RAW.2027-01-25_00_03_15.fits	0.25	1	LSS,LM	SCIENCE	SKY	SPEC_LM	C-38_1	L_spec			ESO INS OPTI9 NAME=L_spec	
METIS.LM_LSS_STD_RAW.2027-01-25_00_03_07.fits	0.05	1	LSS,LM	CALIB	STD	SPEC_LM	C-38_1	L_spec			ESO INS OPTI9 NAME=L_spec	
METIS.LM_LSS_WAVE_RAW.2027-01-25_00_02_07.fits	0.004	1	LSS,LM	CALIB	WAVE	SPEC_LM	C-38_1	open			ESO INS OPTI9 NAME=open	
METIS.LM_OFF_AXIS_PSF_RAW.2027-01-25_00_15_21.fits	0.25	1	IMAGE,LM	CALIB	PSF,OFFAXIS	IMG_LM		Lp			ESO INS OPTI10 NAME=Lp	
METIS.LM_PUPIL_RAW.2027-01-25_00_02_23.fits	10	1	PUP,LM	TECHNICAL	PUPIL	IMG_LM		open			ESO INS OPTI15 NAME=PUPIL1	
METIS.LM_SLITLOSSES_RAW.2027-01-25_00_02_05.fits	0.25	1	LSS,LM	CALIB	SLITLOSS	SPEC_LM	C-38_1	open			ESO INS OPTI9 NAME=open	
METIS.LM_WCU_OFF_RAW.2027-01-25_00_40_37.fits	0.25	1	IMAGE,LM	CALIB	DARK,WCUOFF	IMG_LM		open			ESO INS OPTI10 NAME=open	
METIS.LM_WCU_OFF_RAW.2027-01-25_00_40_38.fits	1.0	1	IMAGE,LM	CALIB	DARK,WCUOFF	IMG_LM		open			ESO INS OPTI10 NAME=open	
METIS.N_DISTORTION_RAW.2027-01-25_00_02_50.fits	0.25	1	IMAGE,N	CALIB	DISTORTION	IMG_N		open			ESO INS OPTI13 NAME=open	
METIS.N_FLAT_LAMP_RAW.2027-01-25_00_40_55.fits	0.25	1	IMAGE,N	CALIB	FLAT,LAMP	IMG_N		N1			ESO INS OPTI13 NAME=N1	
METIS.N_FLAT_LAMP_RAW.2027-01-25_00_40_57.fits	0.25	1	IMAGE,N	CALIB	FLAT,LAMP	IMG_N		N_spec			ESO INS OPTI13 NAME=N_spec	
METIS.N_FLAT_LAMP_RAW.2027-01-25_00_40_58.fits	0.25	1	IMAGE,N	CALIB	FLAT,LAMP	IMG_N		open			ESO INS OPTI13 NAME=open	
METIS.N_FLAT_TWILIGHT_RAW.2027-01-25_00_40_48.fits	0.25	1	IMAGE,N	CALIB	FLAT,TWILIGHT	IMG_N		N1			ESO INS OPTI13 NAME=N1	
METIS.N_FLAT_TWILIGHT_RAW.2027-01-25_00_40_49.fits	0.25	1	IMAGE,N	CALIB	FLAT,TWILIGHT	IMG_N		N_spec			ESO INS OPTI13 NAME=N_spec	
METIS.N_FLAT_TWILIGHT_RAW.2027-01-25_00_40_50.fits	0.25	1	IMAGE,N	CALIB	FLAT,TWILIGHT	IMG_N		open			ESO INS OPTI13 NAME=open	
METIS.N_IMAGE_SCI_RAW.2027-01-25_00_03_03.fits	0.25	4	IMAGE,N	SCIENCE	OBJECT	IMG_N		N1			ESO INS OPTI13 NAME=N1	
METIS.N_IMAGE_SKY_RAW.2027-01-25_00_02_57.fits	0.25	1	IMAGE,N	CALIB	SKY	IMG_N		N1			ESO INS OPTI13 NAME=N1	
METIS.N_IMAGE_SKY_RAW.2027-01-25_00_03_05.fits	0.25	4	IMAGE,N	SCIENCE	SKY	IMG_N		N1			ESO INS OPTI13 NAME=N1	
METIS.N_IMAGE_STD_RAW.2027-01-25_00_02_56.fits	0.25	1	IMAGE,N	CALIB	STD	IMG_N		N1			ESO INS OPTI13 NAME=N1	
METIS.N_LSS_RSRF_PINH_RAW.2027-01-25_00_01_44.fits	0.005	1	LSS,N	CALIB	FLAT,LAMP,PINH	SPEC_N_LOW	C-38_1	open			ESO INS OPTI12 NAME=open	
METIS.N_LSS_RSRF_RAW.2027-01-25_00_01_23.fits	0.01	1	LSS,N	CALIB	FLAT,LAMP	SPEC_N_LOW	C-38_1	N_spec			ESO INS OPTI12 NAME=N_spec	
METIS.N_LSS_SCI_RAW.2027-01-25_00_03_11.fits	0.25	1	LSS,N	SCIENCE	OBJECT	SPEC_N_LOW	C-38_1	N_spec			ESO INS OPTI12 NAME=N_spec	
METIS.N_LSS_SKY_RAW.2027-01-25_00_03_10.fits	0.05	1	LSS,N	CALIB	SKY	SPEC_N_LOW	C-38_1	N_spec			ESO INS OPTI12 NAME=N_spec	
METIS.N_LSS_SKY_RAW.2027-01-25_00_03_13.fits	0.25	1	LSS,N	SCIENCE	SKY	SPEC_N_LOW	C-38_1	N_spec			ESO INS OPTI12 NAME=N_spec	
METIS.N_LSS_STD_RAW.2027-01-25_00_03_09.fits	0.05	1	LSS,N	CALIB	STD	SPEC_N_LOW	C-38_1	N_spec			ESO INS OPTI12 NAME=N_spec	
METIS.N_LSS_WAVE_RAW.2027-01-25_00_02_08.fits	0.0004	1	LSS,N	CALIB	WAVE	SPEC_N_LOW	C-38_1	open			ESO INS OPTI12 NAME=open	
METIS.N_OFF_AXIS_PSF_RAW.2027-01-25_00_15_22.fits	0.25	1	IMAGE,N	CALIB	PSF,OFFAXIS	IMG_N		N1			ESO INS OPTI13 NAME=N1	
METIS.N_PUPIL_RAW.2027-01-25_00_02_36.fits	10	1	PUP,N	TECHNICAL	PUPIL	IMG_N		open			ESO INS OPTI15 NAME=PUPIL2	
METIS.N_SLITLOSSES_RAW.2027-01-25_00_02_06.fits	0.25	1	LSS,N	CALIB	SLITLOSS	SPEC_N_LOW	C-38_1	open			ESO INS OPTI12 NAME=open	
METIS.N_WCU_OFF_RAW.2027-01-25_00_40_40.fits	0.25	1	IMAGE,N	CALIB	DARK,WCUOFF	IMG_N		open			ESO INS OPTI13 NAME=open	
METIS.N_WCU_OFF_RAW.2027-01-25_00_40_42.fits	1.0	1	IMAGE,N	CALIB	DARK,WCUOFF	IMG_N		open			ESO INS OPTI13 NAME=open	
METIS.PERSISTENCE_MAP.2027-01-25_00_01_09.fits	1	1	IMAGE,LM	CALIB	PERSISTENCE	IMG_LM		open			ESO INS OPTI10 NAME=open	
METIS.PERSISTENCE_MAP.2027-01-25_00_01_11.fits	1	1	IMAGE,N	CALIB	PERSISTENCE	IMG_N		open			ESO INS OPTI13 NAME=open	
METIS.PERSISTENCE_MAP.2027-01-25_00_01_13.fits	1	1	IFU	CALIB	PERSISTENCE	IFU_nominal		open	open		ESO INS OPTI6 NAME=open	
